produto,marca,categoria,categoria_original,descricao,id,preco,url_produto,volume
ÁCIDO GLICÓLICO,Principia,Proporcionar maciez,Proporcionar maciez,"Sérum com 9,8% de ácido glicólico e 4% de composição de aminoácidos para melhora visível das linhas finas e de expressão, acne, tonalidade e textura irregular da pele.",ff4cfbc2-aba5-4780-9a23-e49025834958,"R$  59,00",https://www.principiaskin.com/produtos/produtos-individuais/serum-renovador-10-acido-glicolico-4-aminoacidos-prodew-600.html,
NIACINAMIDA,Principia,Clarear manchas escuras,Clarear manchas escuras,"Sérum com 10% de Niacinamida e 1% de Zinco PCA com alta eficácia contra acnes, cravos, manchas, oleosidade e poros dilatados.",d14cdd08-c4e2-494e-903a-f5a551bda13f,"R$  59,00",https://www.principiaskin.com/produtos/produtos-individuais/serum-anti-idade-nc-10-niacinamida-zinco-pca.html,
ÁCIDO MANDÉLICO,Principia,Clarear manchas escuras,Clarear manchas escuras,,f58c5685-3b0f-48a5-b6ca-a34fe54c4f0c,"R$  59,00",https://www.principiaskin.com/produtos/produtos-individuais/serum-am-10-acido-mandelico-alfa-arbutin-am-10.html,
KIT ANTIQUEDA TRIO,Principia,Estimular o crescimento,Estimular o crescimento,"Kit com shampoo, condicionador e sérum antiqueda com alta eficácia na redução da quebra, estimulo do crescimento e aumento da resistência e volume dos cabelos.",9c828042-3c82-4c8b-8506-a6e6bb86cffe,"R$  162,00",https://www.principiaskin.com/produtos/produtos-individuais/kit-antiqueda-trio-aq-01-shampoo-condicionador-niacinamida-cafeina-keratinas-glicerina-d-pantenol-tensoativos-sc-01-baicapil-cafeina-beauplex.html,
GR-2 GRANACTIVE RETINÓIDE,Principia,Aumentar a firmeza e elasticidade,Aumentar a firmeza e elasticidade,"Emulsão com 2% de Granactive Retinóide com alta eficácia para melhora de rugas, linhas finas, olheiras, bolsas, viço e firmeza, e menor potencial de irritar a pele.",a6b87aa7-931a-4299-afee-e7e3889bddf3,"R$  89,00",https://www.principiaskin.com/produtos/produtos-individuais/serum-anti-idade-2-granactive-retinoide.html,
KIT SHAMPOO E CONDICIONADOR ANTIQUEDA AQ-01,Principia,Reduzir a queda,Reduzir a queda,"Kit com shampoo e condicionador antiqueda com alta eficácia na redução da quebra, estimulo do crescimento e aumento da resistência e volume dos cabelos.",9e2da0d6-af5f-47cc-836e-bbd34e8ea95a,"R$  93,00",https://www.principiaskin.com/produtos/produtos-individuais/kit-shampoo-e-condicionador-antiqueda-aq-01-niacinamida-cafeina-keratinas-glicerina-d-pantenol-tensoativos.html,
Dupla Colágeno e Vitamina C - Pele Sensível,Sallve,Rosto,Loja Sallve,,a20e7523-6a66-4e1e-be2f-5a42675a5480,"R$ 139,90",https://www.sallve.com.br/products/dupla-colageno-e-vitamina-c-pele-sensivel,
Vitamina C Antioxidante Hidratante,Sallve,Rosto,Loja Sallve,"sérum-gel antioxidante com nano vitamina C 10% para uma pele radiante. controla a oleosidade da pele, previne linhas de expressão e manchas e diminui o inchaço de olheiras de cansaço.",4678282d-ce80-4b33-98a5-f316084c709e,"R$ 99,90",https://www.sallve.com.br/products/vitamina-c-antioxidante-hidratante,35g
vitamina c + ácido hialurônico + retinol puro,Sallve,Rosto,Loja Sallve,,5f49a168-20e5-41f2-be5e-910d875133be,"R$ 159,90",https://www.sallve.com.br/products/vitamina-c-acido-hialuronico-retinol,
Vitamina C Antioxidante Hidratante Pele Sensível,Sallve,Rosto,Loja Sallve,"sérum com nano vitamina C 10% testado em peles sensíveis, suaviza linhas finas, hidrata intensivamente, devolve viço e luminosidade à pele.",e15f4ccf-9f0e-47c4-a021-21f19a60ed4d,"R$ 79,90",https://www.sallve.com.br/products/vitamina-c-antioxidante-hidratante-pele-sensivel,35g
